  100		 2.64E-01
  200		 1.34E-02
  300		 4.56E-03
  400		 3.77E-03
  500		 4.06E-03
  600		 4.79E-03
  700		 5.75E-03
  800		 6.87E-03
  900		 8.16E-03
 1000		 9.62E-03
 1100		 1.13E-02
 1200		 1.31E-02
 1300		 1.53E-02
 1400		 1.77E-02
 1500		 2.05E-02
 1600		 2.37E-02
 1700		 2.73E-02
 1800		 3.14E-02
 1900		 3.58E-02
 2000		 4.04E-02
 2100		 4.48E-02
 2200		 4.66E-02
 2300		 4.83E-02
 2400		 4.99E-02
 2500		 5.12E-02
 2600		 5.25E-02
 2700		 5.36E-02
 2800		 5.46E-02
 2900		 5.55E-02
 3000		 5.63E-02
 3100		 5.70E-02
 3200		 5.76E-02
 3300		 5.81E-02
 3400		 5.86E-02
 3500		 5.90E-02
 3600		 5.93E-02
 3700		 5.97E-02
 3800		 5.99E-02
 3900		 6.02E-02
 4000		 6.05E-02
 4100		 6.07E-02
 4200		 6.10E-02
 4300		 6.13E-02
 4400		 6.15E-02
 4500		 6.18E-02
 4600		 6.21E-02
 4700		 6.24E-02
 4800		 6.27E-02
 4900		 6.30E-02
