  100		 1.18E-06		 1.85E-07
  200		 4.88E-05		 3.65E-07
  300		 1.69E-04		 6.87E-07
  400		 3.33E-04		 1.36E-06
  500		 5.18E-04		 2.46E-06
  600		 7.02E-04		 3.93E-06
  700		 8.84E-04		 5.83E-06
  800		 1.06E-03		 8.23E-06
  900		 1.24E-03		 1.11E-05
 1000		 1.42E-03		 1.46E-05
 1100		 1.59E-03		 1.86E-05
 1200		 1.76E-03		 2.34E-05
 1300		 1.95E-03		 2.92E-05
 1400		 2.14E-03		 3.62E-05
 1500		 2.36E-03		 4.50E-05
 1600		 2.61E-03		 5.58E-05
 1700		 2.91E-03		 6.93E-05
 1800		 3.25E-03		 8.58E-05
 1900		 3.66E-03		 1.06E-04
 2000		 4.23E-03		 1.29E-04
 2100		 5.06E-03		 1.55E-04
 2200		 5.99E-03		 1.85E-04
 2300		 6.99E-03		 2.17E-04
 2400		 8.05E-03		 2.52E-04
 2500		 9.15E-03		 2.89E-04
 2600		 1.03E-02		 3.27E-04
 2700		 1.14E-02		 3.67E-04
 2800		 1.26E-02		 4.07E-04
 2900		 1.38E-02		 4.48E-04
 3000		 1.50E-02		 4.90E-04
 3100		 1.61E-02		 5.32E-04
 3200		 1.73E-02		 5.74E-04
 3300		 1.85E-02		 6.15E-04
 3400		 1.96E-02		 6.57E-04
 3500		 2.07E-02		 6.97E-04
 3600		 2.18E-02		 7.38E-04
 3700		 2.29E-02		 7.77E-04
 3800		 2.40E-02		 8.15E-04
 3900		 2.50E-02		 8.53E-04
 4000		 2.59E-02		 8.89E-04
 4100		 2.69E-02		 9.24E-04
 4200		 2.77E-02		 9.58E-04
 4300		 2.86E-02		 9.90E-04
 4400		 2.93E-02		 1.02E-03
 4500		 3.01E-02		 1.05E-03
 4600		 3.07E-02		 1.08E-03
 4700		 3.14E-02		 1.11E-03
 4800		 3.19E-02		 1.13E-03
 4900		 3.25E-02		 1.16E-03
