  100		 8.81E-07		 1.85E-07
  200		 3.76E-05		 3.65E-07
  300		 1.49E-04		 6.30E-07
  400		 3.02E-04		 1.16E-06
  500		 4.91E-04		 2.10E-06
  600		 6.91E-04		 3.49E-06
  700		 8.91E-04		 5.33E-06
  800		 1.09E-03		 7.70E-06
  900		 1.29E-03		 1.07E-05
 1000		 1.49E-03		 1.44E-05
 1100		 1.69E-03		 1.90E-05
 1200		 1.89E-03		 2.45E-05
 1300		 2.09E-03		 3.12E-05
 1400		 2.29E-03		 3.94E-05
 1500		 2.51E-03		 4.96E-05
 1600		 2.75E-03		 6.23E-05
 1700		 3.02E-03		 7.82E-05
 1800		 3.32E-03		 9.81E-05
 1900		 3.68E-03		 1.23E-04
 2000		 4.08E-03		 1.52E-04
 2100		 4.61E-03		 1.87E-04
 2200		 5.41E-03		 2.27E-04
 2300		 6.29E-03		 2.72E-04
 2400		 7.24E-03		 3.21E-04
 2500		 8.23E-03		 3.74E-04
 2600		 9.27E-03		 4.31E-04
 2700		 1.03E-02		 4.90E-04
 2800		 1.14E-02		 5.51E-04
 2900		 1.26E-02		 6.14E-04
 3000		 1.37E-02		 6.78E-04
 3100		 1.48E-02		 7.43E-04
 3200		 1.60E-02		 8.09E-04
 3300		 1.71E-02		 8.74E-04
 3400		 1.82E-02		 9.38E-04
 3500		 1.94E-02		 1.00E-03
 3600		 2.05E-02		 1.07E-03
 3700		 2.16E-02		 1.13E-03
 3800		 2.26E-02		 1.19E-03
 3900		 2.37E-02		 1.25E-03
 4000		 2.47E-02		 1.30E-03
 4100		 2.56E-02		 1.36E-03
 4200		 2.65E-02		 1.41E-03
 4300		 2.74E-02		 1.46E-03
 4400		 2.82E-02		 1.51E-03
 4500		 2.90E-02		 1.56E-03
 4600		 2.97E-02		 1.60E-03
 4700		 3.03E-02		 1.64E-03
 4800		 3.09E-02		 1.68E-03
 4900		 3.15E-02		 1.72E-03
