           t                      Max1                    Max2                    Max3          
100                     6.231434428499276e-07   1.849960678605008e-07   2.4964809258161695e-07  
200                     2.1608920056974838e-05  3.6498235832847584e-07  4.81590497789673e-07    
300                     0.00011623505407073624  5.708939824921938e-07   6.970901570120407e-07   
400                     0.0002641162248624802   9.977027634526912e-07   8.973279506085768e-07   
500                     0.00045594159520354863  1.8032783486755784e-06  1.083420773676769e-06   
600                     0.0006728104616639292   3.1230203086252674e-06  1.2564296650400753e-06  
700                     0.0008983013591022439   5.018636470551463e-06   1.417349462463438e-06   
800                     0.0011267396180432104   7.566803237119302e-06   1.56711487965759e-06    
900                     0.001356076410382061    1.0866505464721188e-05  1.7066079574619759e-06  
1000                    0.0015849045487747436   1.5027803926608066e-05  1.8366587377427162e-06  
1100                    0.0018122870223941498   2.0177172871120837e-05  1.962122724362037e-06   
1200                    0.002038268344689628    2.6479194101951202e-05  2.0839050583799455e-06  
1300                    0.0022644290116209617   3.417115614577366e-05   2.1994171208618936e-06  
1400                    0.0024942047891663237   4.360562933059635e-05   2.3106354043275646e-06  
1500                    0.0027329463780754303   5.5290815741357574e-05  2.4198741628799787e-06  
1600                    0.0029879135411340746   6.991136355799346e-05   2.5245460122029747e-06  
1700                    0.003267977881154766    8.830670488979206e-05   2.6251911729795327e-06  
1800                    0.003582598766604448    0.00011138711174095047  2.7223447038797e-06     
1900                    0.0039400865213322514   0.000139992189875267    2.8165103989944597e-06  
2000                    0.004345778498344802    0.00017473689200740844  2.9132666232835005e-06  
2100                    0.004801024662296051    0.0002159088442244847   3.0090975752275083e-06  
2200                    0.005568894015689662    0.0002634530949797616   3.102772439053574e-06   
2300                    0.006464214500008906    0.00031703139920542003  3.1979194223428525e-06  
2400                    0.007435480432335002    0.0003761146209635521   3.290054971320936e-06   
2500                    0.008471160436963943    0.0004400707926299121   3.3792773582548407e-06  
2600                    0.009560872828579856    0.0005082309131304912   3.4656811859157357e-06  
2700                    0.010695671140344018    0.0005799309924941566   3.5493575493447372e-06  
2800                    0.01186793507743813     0.0006545359927061008   3.6303942239323807e-06  
2900                    0.013071113655448587    0.0007314519389041963   3.7088758598263865e-06  
3000                    0.014299447718346897    0.0008101307349673991   3.784884171535766e-06   
3100                    0.015547718629520662    0.0008900704270690879   3.858498117571812e-06   
3200                    0.016811030153283793    0.0009708124737699888   3.929794068782367e-06   
3300                    0.01808461597977336     0.0010519369360455705   4.0131468212423125e-06  
3400                    0.01936366341372339     0.0011330561948812113   4.100595002765591e-06   
3500                    0.020643148144822893    0.0012138077089826945   4.188432284839391e-06   
3600                    0.021917683972299432    0.0012938464031992895   4.27682197725872e-06    
3700                    0.023181405072426723    0.0013728375376401614   4.366015100889616e-06   
3800                    0.024427916216972614    0.0014504513291643      4.456364597218276e-06   
3900                    0.025650363198411644    0.0015263610394821046   4.548325229457806e-06   
4000                    0.026841678922815512    0.001600246360229155    4.6424285116270886e-06  
4100                    0.027995031993569425    0.0016718032074789617   4.739224462421822e-06   
4200                    0.029104434425598024    0.0017407591581840706   4.839192042747114e-06   
4300                    0.030165374754128896    0.0018068911567381083   4.942636244231472e-06   
4400                    0.03117528963793387     0.001870040235948411    5.049602927463277e-06   
4500                    0.032133724481790554    0.0019301184220442242   5.159841190473824e-06   
4600                    0.03304215217549859     0.001987105891001695    5.272824998433112e-06   
4700                    0.033903543551329386    0.002041040077921485    5.387822432509324e-06   
4800                    0.03472184119168191     0.0020920006684688824   5.503986867009282e-06   
4900                    0.035501468678578056    0.0021400944462866595   5.620444746782293e-06   
5000                    0.03624694890765907     0.0021854425886050316   5.736364080058589e-06   
