           t                      Max1                    Max2                    Max3          
100                     1.262055869271534e-06   1.8499829151162447e-07  2.496480905668416e-07   
200                     5.097104015746229e-05   3.652291128830883e-07   4.815906757656834e-07   
300                     0.00017319219264758922  7.040088251225981e-07   6.970958763707205e-07   
400                     0.0003494296348573777   1.4749803697658928e-06  8.973639720893776e-07   
500                     0.0005520682236215034   2.8626191226375046e-06  1.0835412208647623e-06  
600                     0.0007428112243732448   4.714597626932181e-06   1.256675835293156e-06   
700                     0.0009314330904944256   7.199745577878401e-06   1.4177734039664148e-06  
800                     0.0011169261640444027   1.0358320618143735e-05  1.5677596649076295e-06  
900                     0.0012984410670717275   1.416705158485816e-05   1.7074745716460114e-06  
1000                    0.0014810336036467614   1.873128568019675e-05   1.8377010118602718e-06  
1100                    0.0016729603116795299   2.4317029200226006e-05  1.964257521956006e-06   
1200                    0.0018844911518685204   3.1317562232066464e-05  2.0860678118469254e-06  
1300                    0.0021288901815179977   4.023947139402448e-05   2.2014056492685e-06     
1400                    0.002423245965154617    5.172023939357481e-05   2.3117342154827884e-06  
1500                    0.0027866552934663036   6.650535608625396e-05   2.4205285732262803e-06  
1600                    0.0032354514377661426   8.533365290950354e-05   2.524413771647846e-06   
1700                    0.003844905958680041    0.00010875954356209583  2.6237287976001196e-06  
1800                    0.004858241467679942    0.00013701027288548633  2.7187548832674727e-06  
1900                    0.006016436402678148    0.00016996066722753812  2.8137596583086195e-06  
2000                    0.007291043835796384    0.00020721602696880932  2.9132521833671413e-06  
2100                    0.008653172526351716    0.0002482307105690773   3.009078817031019e-06   
2200                    0.010077381974388325    0.000292404085806382    3.103503306788273e-06   
2300                    0.011542958539862655    0.0003391381595864479   3.19890962107529e-06    
2400                    0.013033711752344497    0.0003878658923449237   3.2913371843257667e-06  
2500                    0.014537173662746566    0.00043806288848858595  3.380878756046541e-06   
2600                    0.01604366378013106     0.0004892507182361615   3.4676233382549995e-06  
2700                    0.017545404280815833    0.0005409956808473617   3.5516567137088673e-06  
2800                    0.019035737645035144    0.0005929044579760851   3.633061879570782e-06   
2900                    0.020508453383266477    0.0006446174741538191   3.7119193983951174e-06  
3000                    0.02195723134708513     0.0006958010881660948   3.7883076945810824e-06  
3100                    0.023375237580708738    0.0007461403647161289   3.862303322668028e-06   
3200                    0.02475495305167016     0.0007953347438369139   3.933981220530022e-06   
3300                    0.026088350123588875    0.0008430991036273731   4.003414931504029e-06   
3400                    0.027367501988345918    0.0008891719116015845   4.070676736744025e-06   
3500                    0.02858556152328236     0.0009333297491041612   4.135837603811144e-06   
3600                    0.029737813964200333    0.0009754039525722582   4.198966876503456e-06   
3700                    0.030822374614349165    0.001015292824432096    4.26013173880385e-06    
3800                    0.03184024477521703     0.001052964285041887    4.319396631364451e-06   
3900                    0.03279477696612853     0.0010884483604657273   4.3768228548723925e-06  
4000                    0.033690852089633606    0.0011218230711238354   4.432468498545479e-06   
4100                    0.034534081035724244    0.0011531985374220418   4.486388667966929e-06   
4200                    0.03533020135533017     0.0011827028270490812   4.538635879970835e-06   
4300                    0.036084699464525576    0.0012104710597686257   4.589260484155716e-06   
4400                    0.036802616223088995    0.0012366378295994415   4.638311020822382e-06   
