           t                      Max1                    Max2                    Max3          
100                     7.519571752383487e-07   1.8499651288004844e-07  2.496480923193695e-07   
200                     3.048078890864106e-05   3.650245990193791e-07   4.815904974606066e-07   
300                     0.00013619632602126263  6.02759537745124e-07    6.970911824784226e-07   
400                     0.00028731498318851714  1.0862418477901447e-06  8.973337017158119e-07   
500                     0.00047808455026175943  1.9719129776798054e-06  1.0834379955472336e-06  
600                     0.0006871695917443499   3.3470787818922096e-06  1.2564614271419844e-06  
700                     0.0009000936280425491   5.2396765941973845e-06  1.4173881798352911e-06  
800                     0.0011139134892069644   7.724017432241964e-06   1.5671415425813754e-06  
900                     0.0013282909959617913   1.0905171850053207e-05  1.7065929710935985e-06  
1000                    0.0015426819010673362   1.4896901647063543e-05  1.8365624266151234e-06  
1100                    0.0017566614072313923   1.9829430246194045e-05  1.961722494246866e-06   
1200                    0.001970651051098589    2.5875179280518798e-05  2.0831660588817907e-06  
1300                    0.002186483378686503    3.328238654891526e-05   2.198215713935804e-06   
1400                    0.0024078777903588015   4.2413453775471336e-05  2.309448817040517e-06   
1500                    0.0026407974719471136   5.378218795364348e-05   2.418142979699679e-06   
1600                    0.0028934266441526368   6.807252341769522e-05   2.5220793664370888e-06  
1700                    0.003175484151319617    8.611153764223666e-05   2.621730656444504e-06   
1800                    0.003496733800602113    0.00010877698475286931  2.7175508383452974e-06  
1900                    0.0038649442060923796   0.00013685295974441965  2.813772483393972e-06   
2000                    0.004284131329456027    0.0001708866126758793   2.9132704983783116e-06  
2100                    0.0048258101772201715   0.00021110468224196438  3.00910328481668e-06    
2200                    0.005660986795937433    0.0002574124621925389   3.1027551296682657e-06  
2300                    0.006579740066272613    0.0003094545341118352   3.1979089560426894e-06  
2400                    0.007569647297837055    0.0003666990382586109   3.290053349151071e-06   
2500                    0.008619014352369326    0.0004285157834960425   3.379286457084982e-06   
2600                    0.00971760618949012     0.0004942354470075835   3.4657027026405165e-06  
2700                    0.010856745409446665    0.0005631893063225847   3.5493929728068516e-06  
2800                    0.01202910950601651     0.0006347337887390585   3.630444827087022e-06   
2900                    0.01322843502140888     0.0007082644526196944   3.7089427060302487e-06  
3000                    0.01444922507462624     0.000783222834443399    3.784968130468395e-06   
3100                    0.015686490445654917    0.0008590984114902103   3.858599887664395e-06   
3200                    0.016935524492733826    0.000935427135876917    3.9299142041377815e-06  
3300                    0.018191702881179144    0.0010117875405523684   3.998984907143778e-06   
3400                    0.01945029997521695     0.001087795184341769    4.065883577839158e-06   
3500                    0.020706320344863572    0.0011630961298220077   4.130679698849e-06      
3600                    0.021954355360564577    0.001237360229596084    4.1934407967684195e-06  
3700                    0.02318849125793192     0.0013102752348032088   4.254232575516718e-06   
3800                    0.024402313609005025    0.001381543066091856    4.313119029263714e-06   
3900                    0.025589064394714003    0.001450879783835262    4.3701625153206195e-06  
4000                    0.026741994510884493    0.0015180204819168679   4.427785722859987e-06   
4100                    0.027854900301691677    0.0015827291505011477   4.5140879485080466e-06  
4200                    0.028922744693172738    0.0016448115930875525   4.604269810635469e-06   
4300                    0.02994218926592959     0.001704127619143233    4.698545611451166e-06   
4400                    0.030911867025069217    0.0017605982953534268   4.796815570917342e-06   
4500                    0.031832323036331336    0.0018142056776823305   4.898670256193727e-06   
4600                    0.03270568032090065     0.0018649853059349321   5.003451456271481e-06   
4700                    0.033535168143366496    0.0019130140865597992   5.110343498600511e-06   
