           t                   Max1/Max2               Max2/Max3        
100                     5.9831979127223045      0.7410339484991469      
200                     127.6896915773449       0.7582417846499281      
300                     244.79579424509058      0.9656014775349556      
400                     249.7264814733692       1.4456776737804666      
500                     217.6993791782007       2.157120402005981       
600                     185.54223924808306      2.986170254922237       
700                     157.96727624572773      3.9350798477534568      
800                     134.82264733868035      5.042473729486778       
900                     115.99173940834271      6.305000967632738       
1000                    100.77837617519391      7.716217843877851       
1100                    88.25926050644682       9.282556232261658       
1200                    77.67887422982712       11.045243051037906      
1300                    68.53475118165557       13.095120847815533      
1400                    60.5311706370503        15.504733237930385      
1500                    53.510949451224974      18.402889410779853      
1600                    47.3984378669988        21.93784555258104       
1700                    42.15537618765077       26.236704587739233      
1800                    37.74394605752408       31.353143615517283      
1900                    34.10136306200687       37.40918866205948       
2000                    31.134302701629668      44.34574051168608       
2100                    30.1429311340756        52.157303203992676      
2200                    29.730762083523697      60.71214303947834       
2300                    29.353829562774244      69.78887006658287       
2400                    28.99903703707784       79.32928710674096       
2500                    28.663074909763193      89.20022605919104       
2600                    28.347307143918805      99.28119416406216       
2700                    28.054591133687193      109.46660198513132      
2800                    27.78762496890753       119.66586705227411      
2900                    27.548260988303003      129.8024644766215       
3000                    27.337341541788327      139.81251414604492      
3100                    27.154774548994535      149.6432025835588       
3200                    26.99969218415494       159.25118781568165      
3300                    26.87061564937328       168.60106678796424      
3400                    26.76559417757221       177.66395578362545      
3500                    26.682310642357926      186.4162234841087       
3600                    26.618159288456976      194.83841489506196      
3700                    26.570308919542736      202.91440918664532      
3800                    26.535769800580557      210.63086170282514      
3900                    26.511484080829014      217.97697999297725      
4000                    26.494454849922562      224.94465925264754      
4100                    26.481914572521966      231.5289406353516       
4200                    26.471510301562493      237.72866318898025      
4300                    26.461460790711016      243.54709361883053      
4400                    26.45063646464033       248.9922907532151       
4500                    26.43853666357889       254.07702562944695      
4600                    26.425177860241988      258.81821476407174      
4700                    26.41093597983184       263.2359710708384       
4800                    26.39638966268572       267.3524687312029       
4900                    26.38219481923121       271.19082675532707      
5000                    26.36900014789753       274.77415890990346      
