           t                   Max1/Max2               Max2/Max3        
100                     4.759938845866846       0.7410308599279274      
200                     102.95348139994583      0.7580537155347691      
300                     237.02550687156676      0.903631707731184       
400                     260.6282668458989       1.2926849329937653      
500                     233.5505691601365       1.9406914524421772      
600                     198.1331850678206       2.7788374114470566      
700                     167.31187711915032      3.763827310354569       
800                     141.67894168204646      4.924081817138127       
900                     120.56079187468379      6.2909748132054135      
1000                    103.24051444994801      7.885304688046988       
1100                    88.95976120042587       9.715564428201988       
1200                    77.02986994410918       11.81633062716206       
1300                    66.90904376225555       14.274339701811732      
1400                    58.21026776637011       17.17502632481366       
1500                    50.67992580977625       20.66043254997788       
1600                    44.167854069066266      24.924841736381033      
1700                    38.590407397673516      30.16980526065363       
1800                    33.88911898140631       36.53662606634187       
1900                    29.99634709400711       44.132775626448826      
2000                    26.82051010678412       52.97867526081092       
2100                    24.718574569880538      63.10271738451887       
2200                    23.92692385207784       74.36216821582535       
2300                    23.246543189819786      86.48442213208392       
2400                    22.654820537845183      99.37719266224207       
2500                    22.138231819469         112.84758675223195      
2600                    21.688152010222495      126.71289953421073      
2700                    21.298269126653327      140.80761314267673      
2800                    20.963248848718372      154.98632973612234      
2900                    20.678154107659935      169.12421479185872      
3000                    20.438245698765396      183.11601118574606      
3100                    20.238943263720273      196.8742732037562       
3200                    20.075835780765647      210.32720934053387      
3300                    19.944693951512402      223.41637372778564      
3400                    19.841469046111524      236.09436390307638      
3500                    19.762278134127566      248.32264082972804      
3600                    19.703383335870743      260.06957460938105      
3700                    19.661177545955734      271.3088308403592       
3800                    19.632192445047508      282.018236590113        
3900                    19.613144987144423      292.17927419059373      
4000                    19.60103190912147       301.7773030440194       
4100                    19.593264487134142      310.80246824179517      
4200                    19.58781074782309       319.2510324997971       
4300                    19.583294071434864      327.1266570621113       
4400                    19.57900403639095       334.44109793676853      
4500                    19.574810052804395      341.2139588613264       
4600                    19.571008655893152      347.47148440913185      
4700                    19.568154141862887      353.11427674936965      
4800                    19.56691322542449       354.81466298520513      
4900                    19.567962211279056      355.9636179742191       
5000                    19.571926344231006      356.6643432750537       
