           t                      Max1                    Max2                    Max3          
100                     9.456750351036143e-07   1.8499715691653185e-07  2.4964809181941806e-07  
200                     4.0587073883863664e-05  3.6509660633227014e-07  4.815905382908162e-07   
300                     0.00015445481542511921  6.426265541130492e-07   6.970928074548434e-07   
400                     0.0003085728214575881   1.1961233686374771e-06  8.973413834918807e-07   
500                     0.0004961348639412582   2.1641476723018507e-06  1.0834572753336215e-06  
600                     0.0006926108875387845   3.554021508856928e-06   1.2564886852031173e-06  
700                     0.0008879046952505153   5.374227628568063e-06   1.4174057889812762e-06  
800                     0.0010829843596690174   7.715219660253523e-06   1.567120828202902e-06   
900                     0.0012780716865111175   1.0663523508385448e-05  1.7064909120199338e-06  
1000                    0.0014722383207572728   1.4286595683609154e-05  1.8363146276608362e-06  
1100                    0.0016652734157214227   1.866916515473575e-05   1.9608303840156257e-06  
1200                    0.0018583903704538836   2.39477845549252e-05    2.0816290150788664e-06  
1300                    0.002054321527448339    3.0334982876172874e-05  2.195774508568251e-06   
1400                    0.0022574875330818966   3.814215056948709e-05   2.3070539730494148e-06  
1500                    0.0024742586583773583   4.780028826963548e-05   2.414701039274484e-06   
1600                    0.002712996572490515    5.9866142721563306e-05  2.5172802397358e-06     
1700                    0.0029834407973416827   7.499460743412983e-05   2.615189044352349e-06   
1800                    0.0032952018374311585   9.386436353327134e-05   2.7152567379345693e-06  
1900                    0.0036557075862844583   0.00011706901545594617  2.813768835586335e-06   
2000                    0.004068514973874722    0.0001450138406136674   2.913266807186807e-06   
2100                    0.004629344243713369    0.00017785947295166315  3.009099704807622e-06   
2200                    0.005454400342935087    0.00021552516649016358  3.1026868377639995e-06  
2300                    0.006361120417628814    0.00025773418508165337  3.1978462624918754e-06  
2400                    0.00733673245379074     0.00030407432052213595  3.289999909842541e-06   
2500                    0.008369130377809989    0.00035405403482027635  3.3792460102008607e-06  
2600                    0.009447673911160373    0.000407146085939997    3.4656789167805733e-06  
2700                    0.010563371785875927    0.00046281812024053637  3.549389321958423e-06   
2800                    0.011708737798067108    0.0005205527629907259   3.630464495421428e-06   
2900                    0.012877519928443965    0.0005798600736825961   3.7089885204636394e-06  
3000                    0.014064408497206813    0.0006402846086830382   3.7850425163368123e-06  
3100                    0.015264766573806085    0.0007014086479193203   3.858704841751619e-06   
3200                    0.01647439321301416     0.0007628526612717268   3.930051278912769e-06   
3300                    0.017689316650647397    0.0008242738050417416   3.99915520006624e-06    
3400                    0.018905611502952096    0.0008853630791715764   4.066087719971226e-06   
3500                    0.02011923651845779     0.0009458416925835303   4.130917838032698e-06   
3600                    0.021325895818156627    0.0010054571609202792   4.193712572818599e-06   
3700                    0.022520936428519826    0.0010639796969892895   4.254537088978826e-06   
3800                    0.023699307147675642    0.0011211995303238044   4.313454811897177e-06   
3900                    0.024855614193845313    0.0011769258365318016   4.370527519045114e-06   
4000                    0.025984308704581738    0.0012309878361191058   4.425815390832082e-06   
4100                    0.027080018466371623    0.0012832381985589138   4.47937700209333e-06    
4200                    0.028137986979498934    0.0013335581498084368   4.531269243947513e-06   
