  100		 1.92E-01
  200		 8.83E-03
  300		 4.15E-03
  400		 3.89E-03
  500		 4.39E-03
  600		 5.16E-03
  700		 6.08E-03
  800		 7.15E-03
  900		 8.36E-03
 1000		 9.72E-03
 1100		 1.12E-02
 1200		 1.29E-02
 1300		 1.47E-02
 1400		 1.68E-02
 1500		 1.92E-02
 1600		 2.19E-02
 1700		 2.49E-02
 1800		 2.82E-02
 1900		 3.17E-02
 2000		 3.52E-02
 2100		 3.80E-02
 2200		 3.90E-02
 2300		 4.00E-02
 2400		 4.09E-02
 2500		 4.17E-02
 2600		 4.25E-02
 2700		 4.33E-02
 2800		 4.39E-02
 2900		 4.45E-02
 3000		 4.51E-02
 3100		 4.56E-02
 3200		 4.60E-02
 3300		 4.64E-02
 3400		 4.67E-02
 3500		 4.70E-02
 3600		 4.72E-02
 3700		 4.74E-02
 3800		 4.76E-02
 3900		 4.77E-02
 4000		 4.79E-02
 4100		 4.80E-02
 4200		 4.82E-02
 4300		 4.83E-02
 4400		 4.85E-02
 4500		 4.86E-02
 4600		 4.88E-02
 4700		 4.90E-02
 4800		 4.92E-02
 4900		 4.94E-02
