           t                   Max1/Max2               Max2/Max3        
100                     4.064709996592838       0.7410291469136737      
200                     83.50338303370847       0.7579563985255701      
300                     225.95465935016534      0.8646781839960822      
400                     264.5036957221194       1.2105216216811174      
500                     242.44708345308618      1.8200515265147335      
600                     205.30427770686387      2.663892985163625       
700                     171.78419542903598      3.6967124946719014      
800                     144.21426401204292      4.928729934323011       
900                     121.80376561010458      6.390025058561612       
1000                    103.55723207526361      8.111296099266976       
1100                    88.58859712162212       10.108172947166441      
1200                    76.15989940530673       12.421083365004597      
1300                    65.69490969263936       15.140637171283197      
1400                    56.77155657036664       18.3651845680749        
1500                    49.101711410909836      22.2411116320024        
1600                    42.505059293872165      26.9906349195745        
1700                    36.87640748574998       32.84530294161415       
1800                    32.14589748508244       40.02758042940718       
1900                    28.241582888016257      48.63682495727147       
2000                    25.07002311282125       58.65799717911683       
2100                    22.859796978301574      70.15534604849074       
2200                    21.99189094311657       82.9625450397887        
2300                    21.262380546974732      96.76777493214671       
2400                    20.64267016838652       111.45686690862624      
2500                    20.113645014545714      126.8065874077115       
2600                    19.66189646721356       142.60757180095854      
2700                    19.277257731218562      158.67200691424594      
2800                    18.951424549043068      174.83636826078774      
2900                    18.677253916217566      190.96128162566396      
3000                    18.44842162306804       206.92983598423962      
3100                    18.259247410834806      222.64511390172183      
3200                    18.10458970367329       238.02736835628923      
3300                    17.979765664289253      253.01109257624688      
3400                    17.88047994254216       267.542137770675        
3500                    17.802759216499435      281.5749984551212       
3600                    17.74289720603936       295.0703943524439       
3700                    17.697420085494187      307.99332465834055      
3800                    17.663085724887974      320.31183389986273      
3900                    17.63692945467319       331.9967572713523       
4000                    17.61635948226223       342.8396442220675       
4100                    17.599284307660497      350.6199189194478       
4200                    17.584229594880533      357.2361440001145       
4300                    17.5703914011929        362.6925776755216       
4400                    17.55759227227009       367.03481076649575      
4500                    17.54614894436749       370.34655994420217      
4600                    17.536695981904817      372.73976218901885      
4700                    17.530016312463893      374.3415852738052       
