           t                      Max1                    Max2                    Max3          
100                     8.805741224888781e-07   1.8499694029756264e-07  2.496480920046372e-07   
200                     3.758538012494129e-05   3.650714829052985e-07   4.81590519806052e-07    
300                     0.00014930584225947434  6.299146628990285e-07   6.970922528610717e-07   
400                     0.0003023226284305409   1.1599763605430202e-06  8.973388108242264e-07   
500                     0.000491073781477929    2.102644336273139e-06   1.0834511244057674e-06  
600                     0.0006917929340574442   3.4915551063323636e-06  1.2564805310124873e-06  
700                     0.0008925841845520581   5.334852491771452e-06   1.4174009729657032e-06  
800                     0.0010932886366778387   7.716662926035818e-06   1.5671272762321275e-06  
900                     0.0012943023115879022   1.0735681903394075e-05  1.7065212025422128e-06  
1000                    0.0014949729125485875   1.4480486856478855e-05  1.8363890083320732e-06  
1100                    0.0016949720448765444   1.9053244096033278e-05  1.961105218007326e-06   
1200                    0.0018951571496515793   2.460288652994812e-05   2.0821088463277895e-06  
1300                    0.002097881306999439    3.135422641001615e-05   2.1965447835066303e-06  
1400                    0.002307267202354773    3.963677356055307e-05   2.3078144283998995e-06  
1500                    0.00252950709530846     4.991142064419742e-05   2.415797468105326e-06   
1600                    0.0027728974649510346   6.278089627390528e-05   2.5188082210475355e-06  
1700                    0.003047188420108931    7.896232835035153e-05   2.6172634416481087e-06  
1800                    0.0033620372613051342   9.920698331372255e-05   2.715274889739029e-06   
1900                    0.0037249346734225257   0.00012417960966209517  2.813772936313441e-06   
2000                    0.004139511615632416    0.00015434127088378332  2.913271615871297e-06   
2100                    0.004693630144675655    0.00018988271881966934  3.00910526027923e-06    
2200                    0.005520528279843061    0.00023072453082445248  3.1027138713170406e-06  
2300                    0.0064292049870234395   0.0002765660655231932   3.1978714629185568e-06  
2400                    0.007407064605552797    0.00032695313534614835  3.290021850963121e-06   
2500                    0.00844223093747761     0.0003813416991167862   3.3792632176890027e-06  
2600                    0.009524300336576138    0.0004391476199579823   3.4656899303248797e-06  
2700                    0.01064448133811729     0.000499781520968596    3.5493927481192387e-06  
2800                    0.011795423162732062    0.00056267152328601     3.6304590491561867e-06  
2900                    0.012970933693890624    0.0006272771557053887   3.7089730555578874e-06  
3000                    0.01416568761014213     0.0006930970406622438   3.785016046243995e-06   
3100                    0.01537496201137912     0.0007596721731484775   3.858666552954079e-06   
3200                    0.016594405720382562    0.00082658604611029     3.930000539169384e-06   
3300                    0.017819836826237983    0.0008934625354272086   3.999091563968444e-06   
3400                    0.01904706156867406     0.0009599622651129681   4.066010934115566e-06   
3500                    0.020271711720208467    0.0010257780799674688   4.130827847754861e-06   
3600                    0.021489105833779425    0.0010906302469717323   4.1936095316410455e-06  
3700                    0.022694151845055882    0.0011542620879146693   4.254421370433935e-06   
3800                    0.02388132293100351     0.0012164368802847542   4.313327020949821e-06   
3900                    0.025044749324085545    0.0012769369390019452   4.370388497060119e-06   
4000                    0.026178464167925204    0.0013355656115096105   4.425666204972332e-06   
4100                    0.027276808080956293    0.0013921522928896062   4.479218909569768e-06   
4200                    0.02833493393863031     0.001446559511086727    4.531103626384189e-06   
4300                    0.029349287756644873    0.0014986900390499245   4.581375460225393e-06   
4400                    0.030317921843867612    0.0015484915263062685   4.6300874379949435e-06  
4500                    0.031240550649195606    0.001595956771223939    4.677290391488807e-06   
4600                    0.03211835929390013     0.0016411192626103492   4.7230329285899215e-06  
4700                    0.03295365565509894     0.0016840451795399518   4.769122322219893e-06   
4800                    0.03374947874474878     0.001724823857290685    4.8611966675193625e-06  
4900                    0.03450924820225059     0.0017635586081804326   4.954322630545235e-06   
5000                    0.03523649556603063     0.0018003590932385094   5.047768657519269e-06   
