           t                   Max1/Max2               Max2/Max3        
100                     4.929775820707658       0.7410312779586221      
200                     107.04286744747473      0.7580786621609388      
300                     238.77347028649672      0.9125173873095997      
400                     259.39670502191296      1.312058862672886       
500                     231.4734694643644       1.9681439133367906      
600                     196.5577889008175       2.802963380500375       
700                     166.31511993704464      3.7767763386845257      
800                     141.0749340056018       4.922259089639048       
900                     120.24701515016133      6.2685136060623945      
1000                    103.16855732597124      7.832042041430398       
1100                    89.08704596870653       9.619083483867561       
1200                    77.31094273381171       11.66295268584361       
1300                    67.3010966937944        14.04947090538098       
1400                    58.67771404481967       16.86094276572668       
1500                    51.19597637256431       20.237565245258605      
1600                    44.71392474829879       24.366091073908393      
1700                    39.15429916332807       29.43963785119756       
1800                    34.46286804863119       35.57395335301546       
1900                    30.57442159126756       42.89656221300869       
2000                    27.398708230569216      51.413381565364055      
2100                    25.323705825824806      61.15113333808328       
2200                    24.56310239732174       71.9726380589443        
2300                    23.905772499817964      83.61585040677133       
2400                    23.33024937849021       95.99463501098579       
2500                    22.824274105535963      108.92527302836696      
2600                    22.380461078274962      122.23367119058928      
2700                    21.993615158922708      135.76195770964847      
2800                    21.65934896310928       149.3712740289412       
2900                    21.373492574815643      162.94223240705873      
3000                    21.131906864494272      176.374028493925        
3100                    20.930467681483968      189.58281556060467      
3200                    20.76510221967289       202.4997051783037       
3300                    20.631825648499095      215.06862079286122      
3400                    20.526760601404195      227.244154103636        
3500                    20.44613876408548       238.98953400866458      
3600                    20.386292089012798      250.27480330347038      
3700                    20.343646165008973      261.07530448691284      
3800                    20.314731747473004      271.3705937100502       
3900                    20.296231252748235      281.143908816135        
4000                    20.28507146643413       290.3822781567601       
4100                    20.2785579629714        299.0772402793949       
4200                    20.274522508517162      307.2259581587158       
4300                    20.271434654611713      314.83232821652626      
4400                    20.26843118755973       321.90761945398555      
4500                    20.265247830443986      328.47030799537674      
4600                    20.262078051480955      334.5450554543136       
4700                    20.25940659372343       340.1610679399958       
4800                    20.25786041514938       345.3502223145038       
4900                    20.258099064679556      349.05516866377735      
5000                    20.260746956908903      349.983398594603        
