           t                   Max1/Max2               Max2/Max3        
100                     6.2428256587599025      0.7410346433142107      
200                     131.73047323007253      0.758283984736226       
300                     245.4121503051616       0.9788286236197815      
400                     246.6239097089962       1.4900842170624786      
500                     213.34263858517244      2.2250490315890246      
600                     181.5062123670192       3.0688841021907383      
700                     154.31227773806148      4.037153707805422       
800                     131.67566851182983      5.161886976834286       
900                     113.46000607314035      6.429419599065182       
1000                    98.83029204158926       7.83329331778913        
1100                    86.78431461837731       9.386562077775787       
1200                    76.56063748106051       11.13869222955774       
1300                    67.68904486937514       13.185488794257914      
1400                    59.914609801895764      15.600883436413751      
1500                    53.110248773060285      18.51258138953848       
1600                    47.21516468151203       22.065524776660922      
1700                    42.19309969974257       26.37657460917484       
1800                    37.99945021508437       31.487217474420138      
1900                    34.560923112012716      37.49863816707775       
2000                    32.01196470870177       44.32954923728335       
2100                    31.702048658815713      51.95607326248798       
2200                    31.423818575703837      60.234461725583365      
2300                    31.154018915648454      68.94208099243721       
2400                    30.88519684499889       78.02420652606183       
2500                    30.61855138609632       87.35675966672406       
2600                    30.358866604342698      96.83121142239953       
2700                    30.111568763367277      106.35513765351854      
2800                    29.881310118296813      115.85114471115453      
2900                    29.67145977520332       125.25515747552654      
3000                    29.484057846069682      134.51455248331632      
3100                    29.31996665685255       143.58634357578683      
3200                    29.17907773911418       152.43550140536442      
3300                    29.060508453590696      161.03343923079004      
3400                    28.962763538032938      169.3566834510306       
3500                    28.88385909532511       177.38574803965525      
3600                    28.82141908438251       185.10423945794514      
3700                    28.77276222435609       192.49822926099452      
3800                    28.735001567584053      199.55593950683144      
3900                    28.705177840501065      206.26777802491952      
4000                    28.68043701151582       212.6267194785811       
4100                    28.658240205617318      218.6289478580326       
4200                    28.63656607326745       224.2745792529504       
4300                    28.614049082455605      229.56822199827226      
4400                    28.590009484300356      234.5191540844604       
