  100		 1.40E-01
  200		 6.98E-03
  300		 4.07E-03
  400		 4.41E-03
  500		 7.42E-03
  600		 1.57E-02
  700		 2.76E-02
  800		 4.39E-02
  900		 6.44E-02
 1000		 9.05E-02
 1100		 1.10E-01
 1200		 1.29E-01
 1300		 1.45E-01
 1400		 1.59E-01
 1500		 1.70E-01
 1600		 1.78E-01
 1700		 1.83E-01
 1800		 1.87E-01
 1900		 1.89E-01
 2000		 1.90E-01
 2100		 1.90E-01
 2200		 1.89E-01
 2300		 1.88E-01
 2400		 1.88E-01
 2500		 1.87E-01
 2600		 1.86E-01
 2700		 1.85E-01
 2800		 1.84E-01
 2900		 1.83E-01
 3000		 1.82E-01
 3100		 1.81E-01
 3200		 1.80E-01
 3300		 1.79E-01
 3400		 1.78E-01
 3500		 1.77E-01
 3600		 1.76E-01
 3700		 1.74E-01
 3800		 1.73E-01
 3900		 1.72E-01
 4000		 1.71E-01
 4100		 1.69E-01
 4200		 1.68E-01
 4300		 1.67E-01
 4400		 1.66E-01
 4500		 1.64E-01
 4600		 1.63E-01
 4700		 1.62E-01
 4800		 1.60E-01
 4900		 1.59E-01
