           t                      Max1                    Max2                    Max3          
100                     1.062178500921877e-06   1.8499755354758279e-07  2.4964809143364114e-07  
200                     4.512917814570609e-05   3.651435146938117e-07   4.815905809280669e-07   
300                     0.00016216157321517297  6.646635844755067e-07   6.970938395166665e-07   
400                     0.00031935947881350725  1.2658455182998013e-06  8.973465175229818e-07   
500                     0.0005047404734708421   2.2815451796487465e-06  1.083469344277015e-06   
600                     0.0006941788661320327   3.6806247481856484e-06  1.2565060425554718e-06  
700                     0.0008812803184512342   5.488099417329033e-06   1.4174230418216144e-06  
800                     0.0010679837347865333   7.796497074944973e-06   1.5671295219457636e-06  
900                     0.0012535934989592302   1.0656323564634383e-05  1.7064738222409076e-06  
1000                    0.001436959786998387    1.409738169335444e-05   1.8362410213959235e-06  
1100                    0.0016185822321198645   1.818569292509092e-05   1.9604996764995087e-06  
1200                    0.0018006155067682593   2.3051202648937565e-05  2.0810070255151274e-06  
1300                    0.0019866110916647527   2.8899091087468757e-05  2.194736554651162e-06   
1400                    0.002181606558570373    3.6020474116817005e-05  2.3060077885599827e-06  
1500                    0.002392432032912315    4.4803453784634e-05     2.413176759331389e-06   
1600                    0.0026277932732706607   5.573398505179217e-05   2.515145592404797e-06   
1700                    0.00289764127914567     6.936767355419984e-05   2.6136514262576533e-06  
1800                    0.0032116202509831853   8.62614674102815e-05    2.715231410115163e-06   
1900                    0.0035769778310550102   0.0001068793128202475   2.8137563806367462e-06  
2000                    0.00399688061612669     0.00013150956655905467  2.91325153648987e-06    
2100                    0.004624384133653135    0.0001602287383412639   3.0090812854070822e-06  
2200                    0.0054674866134476535   0.0001929170945220302   3.1026460177541013e-06  
2300                    0.006392286515538241    0.00022930570803971395  3.1978113020342314e-06  
2400                    0.007385302691366       0.0002690300576861659   3.2899738447055376e-06  
2500                    0.008433792171799464    0.000311675187010057    3.379231882379882e-06   
2600                    0.00952657714910318     0.00035680816837785004  3.465679652276267e-06   
2700                    0.01065425315452973     0.00040399939066132175  3.5494076354837474e-06  
2800                    0.01180905824864019     0.000452835732506592    3.630502822069781e-06   
2900                    0.012984601308597165    0.0005029282751306825   3.709048971277603e-06   
3000                    0.01417555906679341     0.0005539163697818227   3.785126853302507e-06   
3100                    0.015377390630093928    0.000605469203988947    3.8588144673379605e-06  
3200                    0.016586084795390567    0.0006572856045076472   3.9301872354026986e-06  
3300                    0.017797940395412565    0.0007090926023204466   3.999318174313203e-06   
3400                    0.01900937515425875     0.0007606431814411924   4.066278049756397e-06   
3500                    0.020216759449626243    0.0008117135852546373   4.131135516931922e-06   
3600                    0.021416275975986065    0.0008621005398953448   4.1939572515621944e-06  
3700                    0.022603813909826697    0.0009116187690697402   4.254808072958074e-06   
3800                    0.02377491588206238     0.0009600992093217525   4.31375105704158e-06    
3900                    0.02492480491828516     0.0010073883501444468   4.370847631849825e-06   
4000                    0.026048520132710324    0.001053349041740644    4.426157642135611e-06   
4100                    0.02714117556300796     0.0010978628503328272   4.479739366152293e-06   
4200                    0.028198321098285805    0.0011408335847319499   4.531649471262075e-06   
4300                    0.029216336968675132    0.0011821911029267975   4.581942909207585e-06   
4400                    0.0301927604000978      0.001221894193028937    4.630672773891115e-06   
4500                    0.03112645317941205     0.0012599314385090417   4.6778901631278754e-06  
4600                    0.032017574073491865    0.0012963195386224199   4.723644088600928e-06   
4700                    0.03286738815416122     0.0013310993160869165   4.767981462302557e-06   
