           t                   Max1/Max2               Max2/Max3        
100                     5.741581337445505       0.7410333180806908      
200                     123.5929883173437       0.7582031899173535      
300                     243.9754140331555       0.9534779204710151      
400                     252.28945728105072      1.4106540712878868      
500                     221.22747249236986      2.105777326972912       
600                     188.60354250300193      2.9292535201024767      
700                     160.58023943016298      3.8718852843509244      
800                     136.98250951938837      4.975017677712283       
900                     117.6384605211864       6.2446452009681055      
1000                    101.93096975417609      7.6773046289084155      
1100                    89.00305524716609       9.276049949450464       
1200                    78.11373376873462       11.07694609691744       
1300                    68.74303020990817       13.16745329922391       
1400                    60.565736905496166      15.620274265990433      
1500                    53.398384071293066      18.566171587466947      
1600                    47.14884950051067       22.15934744298577       
1700                    41.77221363610562       26.540522143583498      
1800                    37.23122672731617       31.769471688095578      
1900                    33.467447878064746      37.98456524372624       
2000                    30.392318374282542      45.141850922185874      
2100                    28.861140526513225      53.2483915001942        
2200                    28.341120453808685      62.17824831389443       
2300                    27.87670036731553       71.70707911809717       
2400                    27.45158944277239       81.7727040958421        
2500                    27.059555984247556      92.23255398222462       
2600                    26.699436821790464      102.95474601742188      
2700                    26.37195352470553       113.82163790445017      
2800                    26.07801770251928       124.73085814830091      
2900                    25.817998213011993      135.59494065063421      
3000                    25.59151496529503       146.34023937626634      
3100                    25.3974777392223        156.90549755988545      
3200                    25.234212770892345      167.24027766079186      
3300                    25.099599596964183      177.30337307864184      
3400                    24.991185904331175      187.06128113564716      
3500                    24.90627213450441       196.48679689342993      
3600                    24.841970263220002      205.55777948719518      
3700                    24.795248492846106      214.25614350589373      
3800                    24.76297829560531       222.56713394587948      
3900                    24.742002341709888      230.47894481695786      
4000                    24.7292389326766        237.98272156262502      
4100                    24.72182709778354       245.07292960567838      
4200                    24.717295735040338      251.74797652966416      
4300                    24.713717516857542      258.0108758123416       
4400                    24.709799401905148      263.8696907970437       
4500                    24.704878557714213      269.3375420483553       
4600                    24.698828583202936      274.43209401628945      
4700                    24.691912734793327      279.17459969403933      
