  100		 7.52E-07		 1.85E-07
  200		 3.05E-05		 3.65E-07
  300		 1.36E-04		 6.03E-07
  400		 2.87E-04		 1.09E-06
  500		 4.78E-04		 1.97E-06
  600		 6.87E-04		 3.34E-06
  700		 8.99E-04		 5.23E-06
  800		 1.11E-03		 7.71E-06
  900		 1.33E-03		 1.09E-05
 1000		 1.54E-03		 1.49E-05
 1100		 1.75E-03		 1.98E-05
 1200		 1.96E-03		 2.58E-05
 1300		 2.17E-03		 3.31E-05
 1400		 2.39E-03		 4.22E-05
 1500		 2.62E-03		 5.34E-05
 1600		 2.87E-03		 6.75E-05
 1700		 3.14E-03		 8.53E-05
 1800		 3.46E-03		 1.08E-04
 1900		 3.81E-03		 1.35E-04
 2000		 4.22E-03		 1.69E-04
 2100		 4.74E-03		 2.08E-04
 2200		 5.55E-03		 2.53E-04
 2300		 6.44E-03		 3.04E-04
 2400		 7.39E-03		 3.60E-04
 2500		 8.41E-03		 4.21E-04
 2600		 9.46E-03		 4.85E-04
 2700		 1.06E-02		 5.53E-04
 2800		 1.17E-02		 6.23E-04
